result_file,method,dataset,dataset_path,rule_total,rule_correct,rule_accuracy,rule_unanswered,rule_avg_steps
musique_webarena_results_sft.jsonl,sft,musique,benchmark/musique/validation-00000-of-00001.parquet,200,35,17.50%,91,3.914285714285714
bamboogle_webarena_results_sft.jsonl,sft,bamboogle,benchmark/bamboogle/test-00000-of-00001.parquet,125,33,26.40%,67,6.0
musique_webarena_results_rft.jsonl,rft,musique,benchmark/musique/validation-00000-of-00001.parquet,200,29,14.50%,95,4.793103448275862
2wiki_webarena_results_rft.jsonl,rft,2wiki,benchmark/2wiki/validation-00000-of-00001.parquet,200,90,45.00%,43,4.488888888888889
bamboogle_webarena_results_rft.jsonl,rft,bamboogle,benchmark/bamboogle/test-00000-of-00001.parquet,125,39,31.20%,52,5.435897435897436
nq_webarena_results_rft.jsonl,rft,nq,benchmark/nq/test-00000-of-00001.parquet,200,84,42.00%,49,2.869047619047619
popqa_webarena_results_sft.jsonl,sft,popqa,benchmark/popqa/test-00000-of-00001.parquet,200,88,44.00%,57,3.2613636363636362
hotpot_webarena_results_rft.jsonl,rft,hotpot,benchmark/hotpot/validation-00000-of-00001.parquet,200,92,46.00%,57,3.641304347826087
nq_webarena_results_sft.jsonl,sft,nq,benchmark/nq/test-00000-of-00001.parquet,200,78,39.00%,47,3.1794871794871793
2wiki_webarena_results_sft.jsonl,sft,2wiki,benchmark/2wiki/validation-00000-of-00001.parquet,200,91,45.50%,50,4.912087912087912
hotpot_webarena_results_sft.jsonl,sft,hotpot,benchmark/hotpot/validation-00000-of-00001.parquet,200,85,42.50%,59,3.8823529411764706
popqa_webarena_results_rft.jsonl,rft,popqa,benchmark/popqa/test-00000-of-00001.parquet,200,77,38.50%,50,3.7012987012987013
